word,alphabet,position
aahed,a,1
aahed,a,2
aahed,h,3
aahed,e,4
aahed,d,5
aalii,a,1
aalii,a,2
aalii,l,3
aalii,i,4
aalii,i,5
aargh,a,1
aargh,a,2
aargh,r,3
aargh,g,4
aargh,h,5
aaron,a,1
aaron,a,2
aaron,r,3
aaron,o,4
aaron,n,5
abaca,a,1
abaca,b,2
abaca,a,3
abaca,c,4
abaca,a,5
abaci,a,1
abaci,b,2
abaci,a,3
abaci,c,4
abaci,i,5
aback,a,1
aback,b,2
aback,a,3
aback,c,4
aback,k,5
abada,a,1
abada,b,2
abada,a,3
abada,d,4
abada,a,5
abaff,a,1
abaff,b,2
abaff,a,3
abaff,f,4
abaff,f,5
abaft,a,1
abaft,b,2
abaft,a,3
abaft,f,4
abaft,t,5
abaka,a,1
abaka,b,2
abaka,a,3
abaka,k,4
abaka,a,5
abama,a,1
abama,b,2
abama,a,3
abama,m,4
abama,a,5
abamp,a,1
abamp,b,2
abamp,a,3
abamp,m,4
abamp,p,5
aband,a,1
aband,b,2
aband,a,3
aband,n,4
aband,d,5
abase,a,1
abase,b,2
abase,a,3
abase,s,4
abase,e,5
abash,a,1
abash,b,2
abash,a,3
abash,s,4
abash,h,5
abask,a,1
abask,b,2
abask,a,3
abask,s,4
abask,k,5
abate,a,1
abate,b,2
abate,a,3
abate,t,4
abate,e,5
abaue,a,1
abaue,b,2
abaue,a,3
abaue,u,4
abaue,e,5
abave,a,1
abave,b,2
abave,a,3
abave,v,4
abave,e,5
abaze,a,1
abaze,b,2
abaze,a,3
abaze,z,4
abaze,e,5
abbas,a,1
abbas,b,2
abbas,b,3
abbas,a,4
abbas,s,5
abbey,a,1
abbey,b,2
abbey,b,3
abbey,e,4
abbey,y,5
abbes,a,1
abbes,b,2
abbes,b,3
abbes,e,4
abbes,s,5
abbie,a,1
abbie,b,2
abbie,b,3
abbie,i,4
abbie,e,5
abbot,a,1
abbot,b,2
abbot,b,3
abbot,o,4
abbot,t,5
abdal,a,1
abdal,b,2
abdal,d,3
abdal,a,4
abdal,l,5
abdat,a,1
abdat,b,2
abdat,d,3
abdat,a,4
abdat,t,5
abdom,a,1
abdom,b,2
abdom,d,3
abdom,o,4
abdom,m,5
abeam,a,1
abeam,b,2
abeam,e,3
abeam,a,4
abeam,m,5
abear,a,1
abear,b,2
abear,e,3
abear,a,4
abear,r,5
abede,a,1
abede,b,2
abede,e,3
abede,d,4
abede,e,5
abele,a,1
abele,b,2
abele,e,3
abele,l,4
abele,e,5
abend,a,1
abend,b,2
abend,e,3
abend,n,4
abend,d,5
aberr,a,1
aberr,b,2
aberr,e,3
aberr,r,4
aberr,r,5
abets,a,1
abets,b,2
abets,e,3
abets,t,4
abets,s,5
abhor,a,1
abhor,b,2
abhor,h,3
abhor,o,4
abhor,r,5
abide,a,1
abide,b,2
abide,i,3
abide,d,4
abide,e,5
abidi,a,1
abidi,b,2
abidi,i,3
abidi,d,4
abidi,i,5
abies,a,1
abies,b,2
abies,i,3
abies,e,4
abies,s,5
abyes,a,1
abyes,b,2
abyes,y,3
abyes,e,4
abyes,s,5
abilo,a,1
abilo,b,2
abilo,i,3
abilo,l,4
abilo,o,5
abime,a,1
abime,b,2
abime,i,3
abime,m,4
abime,e,5
abysm,a,1
abysm,b,2
abysm,y,3
abysm,s,4
abysm,m,5
abyss,a,1
abyss,b,2
abyss,y,3
abyss,s,4
abyss,s,5
abkar,a,1
abkar,b,2
abkar,k,3
abkar,a,4
abkar,r,5
abled,a,1
abled,b,2
abled,l,3
abled,e,4
abled,d,5
abler,a,1
abler,b,2
abler,l,3
abler,e,4
abler,r,5
ables,a,1
ables,b,2
ables,l,3
ables,e,4
ables,s,5
ablet,a,1
ablet,b,2
ablet,l,3
ablet,e,4
ablet,t,5
ablow,a,1
ablow,b,2
ablow,l,3
ablow,o,4
ablow,w,5
abmho,a,1
abmho,b,2
abmho,m,3
abmho,h,4
abmho,o,5
abner,a,1
abner,b,2
abner,n,3
abner,e,4
abner,r,5
abnet,a,1
abnet,b,2
abnet,n,3
abnet,e,4
abnet,t,5
abode,a,1
abode,b,2
abode,o,3
abode,d,4
abode,e,5
abody,a,1
abody,b,2
abody,o,3
abody,d,4
abody,y,5
abohm,a,1
abohm,b,2
abohm,o,3
abohm,h,4
abohm,m,5
aboil,a,1
aboil,b,2
aboil,o,3
aboil,i,4
aboil,l,5
aboma,a,1
aboma,b,2
aboma,o,3
aboma,m,4
aboma,a,5
aboon,a,1
aboon,b,2
aboon,o,3
aboon,o,4
aboon,n,5
abord,a,1
abord,b,2
abord,o,3
abord,r,4
abord,d,5
abort,a,1
abort,b,2
abort,o,3
abort,r,4
abort,t,5
abote,a,1
abote,b,2
abote,o,3
abote,t,4
abote,e,5
about,a,1
about,b,2
about,o,3
about,u,4
about,t,5
above,a,1
above,b,2
above,o,3
above,v,4
above,e,5
abray,a,1
abray,b,2
abray,r,3
abray,a,4
abray,y,5
abram,a,1
abram,b,2
abram,r,3
abram,a,4
abram,m,5
abret,a,1
abret,b,2
abret,r,3
abret,e,4
abret,t,5
abrim,a,1
abrim,b,2
abrim,r,3
abrim,i,4
abrim,m,5
abrin,a,1
abrin,b,2
abrin,r,3
abrin,i,4
abrin,n,5
abris,a,1
abris,b,2
abris,r,3
abris,i,4
abris,s,5
abrus,a,1
abrus,b,2
abrus,r,3
abrus,u,4
abrus,s,5
absee,a,1
absee,b,2
absee,s,3
absee,e,4
absee,e,5
absey,a,1
absey,b,2
absey,s,3
absey,e,4
absey,y,5
absis,a,1
absis,b,2
absis,s,3
absis,i,4
absis,s,5
absit,a,1
absit,b,2
absit,s,3
absit,i,4
absit,t,5
abstr,a,1
abstr,b,2
abstr,s,3
abstr,t,4
abstr,r,5
abuna,a,1
abuna,b,2
abuna,u,3
abuna,n,4
abuna,a,5
abune,a,1
abune,b,2
abune,u,3
abune,n,4
abune,e,5
abura,a,1
abura,b,2
abura,u,3
abura,r,4
abura,a,5
abuse,a,1
abuse,b,2
abuse,u,3
abuse,s,4
abuse,e,5
abush,a,1
abush,b,2
abush,u,3
abush,s,4
abush,h,5
abuta,a,1
abuta,b,2
abuta,u,3
abuta,t,4
abuta,a,5
abuts,a,1
abuts,b,2
abuts,u,3
abuts,t,4
abuts,s,5
abuzz,a,1
abuzz,b,2
abuzz,u,3
abuzz,z,4
abuzz,z,5
abwab,a,1
abwab,b,2
abwab,w,3
abwab,a,4
abwab,b,5
acale,a,1
acale,c,2
acale,a,3
acale,l,4
acale,e,5
acana,a,1
acana,c,2
acana,a,3
acana,n,4
acana,a,5
acapu,a,1
acapu,c,2
acapu,a,3
acapu,p,4
acapu,u,5
acara,a,1
acara,c,2
acara,a,3
acara,r,4
acara,a,5
acari,a,1
acari,c,2
acari,a,3
acari,r,4
acari,i,5
acast,a,1
acast,c,2
acast,a,3
acast,s,4
acast,t,5
acate,a,1
acate,c,2
acate,a,3
acate,t,4
acate,e,5
accel,a,1
accel,c,2
accel,c,3
accel,e,4
accel,l,5
accoy,a,1
accoy,c,2
accoy,c,3
accoy,o,4
accoy,y,5
accra,a,1
accra,c,2
accra,c,3
accra,r,4
accra,a,5
accts,a,1
accts,c,2
accts,c,3
accts,t,4
accts,s,5
accum,a,1
accum,c,2
accum,c,3
accum,u,4
accum,m,5
accur,a,1
accur,c,2
accur,c,3
accur,u,4
accur,r,5
accus,a,1
accus,c,2
accus,c,3
accus,u,4
accus,s,5
acedy,a,1
acedy,c,2
acedy,e,3
acedy,d,4
acedy,y,5
acerb,a,1
acerb,c,2
acerb,e,3
acerb,r,4
acerb,b,5
aceta,a,1
aceta,c,2
aceta,e,3
aceta,t,4
aceta,a,5
achar,a,1
